Fecha de la Medida,Hora de la Medida,V12_Avg [V],V23_Avg [V],V31_Avg [V],I1_Avg [A],I2_Avg [A],I3_Avg [A],Pt+_Avg [W],Qti+_Avg [VAR],St+_Avg [VA],freq_Avg [Hz],P12+_Avg [W],S12+_Avg [VA],P12/S12 (FP12),P32+_Avg [W],S32+_Avg [VA],P32/S32 (FP32),thdV12_Avg [%],thdV23_Avg [%],thdV31_Avg [%],thdI1_Avg [%],thdI2_Avg [%],thdI3_Avg [%],Eat+_Avg [Wh],COMSUMO CALCULADO,,PD,,DBV1,DBV2,DBV3,DBI1,DBI2,DBI3,FPT,,PST1,PST2,PST3
14/01/2013,2:20:00 p. m.,434.6,435.5,433.2,6.851,7.088,5.695,4683,633.4,4725,60.03,2444,2978,0.820685024,2239,2480,0.902822581,2.26,2.27,2.314,8.18,12.67,10.51,16357.92,78.05,,5275.00,,0.038364153,0.245530576,0.283894729,4.680656005,8.301925232,12.98258124,0.991111111,,0.8,0.6,0.9
14/01/2013,2:25:00 p. m.,435.1,436,433.6,6.789,7.034,5.638,4636,629.1,4679,60,2420,2954,0.819228165,2216,2458,0.901545972,2.163,2.146,2.212,7.936,12.61,10.24,16744.25,77.27,,5321.00,,0.045987583,0.252931708,0.298919292,4.655464776,8.432249114,13.08771389,0.990810002,,1.1,1.1,1.3
14/01/2013,2:30:00 p. m.,435.3,436,433.7,6.787,7.021,5.591,4624,648.8,4669,59.98,2421,2954,0.819566689,2202,2438,0.903199344,2.12,2.132,2.182,7.899,12.56,10.26,17129.58,77.07,,5331.00,,0.068965517,0.229885057,0.298850575,4.959018506,8.57776174,13.53678025,0.990361962,,0.7,0.5,0.5
14/01/2013,2:35:00 p. m.,434.8,435.3,433.2,6.67,6.931,5.516,4547,628.5,4590,59.99,2378,2900,0.82,2168,2401,0.902957101,2.095,2.082,2.123,7.936,12.53,10.1,17508.5,75.78,,5410.00,,0.084401136,0.199493593,0.283894729,4.671235026,8.767065962,13.43830099,0.990631808,,0.3,0.7,0.4
14/01/2013,2:40:00 p. m.,434.8,435.1,433.3,6.532,6.809,5.385,4442,614.1,4484,60.03,2327,2840,0.819366197,2114,2343,0.902262057,2.096,2.102,2.13,8.212,12.79,10.45,17878.67,74.03,,5516.00,,0.092081031,0.161141805,0.253222836,4.645946812,9.083627043,13.72957385,0.990633363,,0.5,0.9,0.4
14/01/2013,2:45:00 p. m.,435.1,435.6,433.5,6.48,6.757,5.347,4400,610.5,4442,60.06,2303,2819,0.816956368,2096,2329,0.899957063,2.089,2.092,2.107,8.299,12.91,10.4,18245.33,73.33,,5558.00,,0.084342892,0.199355927,0.283698819,4.606112785,9.077701248,13.68381403,0.9905448,,0.3,0.3,0.3
14/01/2013,2:50:00 p. m.,435.1,435.4,433.2,6.472,6.737,5.294,4386,632,4431,60.04,2303,2816,0.817826705,2082,2305,0.903253796,2.048,2.072,2.077,8.064,12.76,10.42,18610.83,73.10,,5569.00,,0.122727621,0.191761908,0.31448953,4.934334973,9.230935524,14.1652705,0.989844279,,0.3,0.3,0.1
14/01/2013,2:55:00 p. m.,434.8,435.2,433,6.289,6.564,5.108,4243,627.5,4289,60.01,2233,2734,0.816752012,2009,2223,0.903733693,2.014,2.026,2.022,8.105,12.91,10.45,18964.42,70.72,,5711.00,,0.107444359,0.199539524,0.306983883,5.044262569,9.637548021,14.68181059,0.989274889,,0.3,0.4,0.5
14/01/2013,3:00:00 p. m.,434.8,435.3,433.1,6.111,6.404,4.932,4106,619.8,4152,60,2165,2657,0.814828754,1940,2147,0.9035864,1.979,1.983,1.963,8.324,13.18,10.65,19306.58,68.43,,5848.00,,0.092081031,0.20718232,0.299263352,5.078236946,10.11635238,15.19458933,0.988921002,,0.3,0.1,0.1
14/01/2013,3:05:00 p. m.,434.5,435.2,432.9,5.931,6.252,4.778,3975,602.5,4020,60.01,2097,2577,0.813736903,1877,2079,0.902837903,1.985,1.98,1.961,8.504,13.47,10.85,19637.83,66.25,,5980.00,,0.069092584,0.230308614,0.299401198,4.905371146,10.58310241,15.48847356,0.98880597,,0.3,0,0.1
